period_ratio,mass_ratio,delta_res,attv_mean,attv_std,attv_min,attv_max,attv_count,attv_minutes_mean,attv_minutes_std,pttv_mean,pttv_std,stable_sum
1.2,0.1,0.01,0.02533586279976774,0.04286301335581671,0.002006285187235335,0.08958512091824389,4,36.483642431665544,61.72273923237606,33368.107235668904,45089.85041372721,4
1.2,0.1,0.031111,0.0070980550450112645,0.00494890995866994,0.003243510044285358,0.013833432782121236,4,10.22119926481622,7.126430340484713,6823.085661020558,7515.266285160613,4
1.2,0.1,0.052222,0.007531476127996939,0.005261620867963764,0.0018303577271581162,0.015420389692735625,5,10.845325624315592,7.57673404986782,29518.98465487304,2128.1980777870967,5
1.2,0.1,0.073333,0.004013282209598401,0.00282594499182609,0.0008122509643726517,0.007337715460380423,4,5.779126381821698,4.069360788229569,41685.95505388224,28816.23603457238,4
1.2,0.1,0.094444,0.005299144344959927,0.003931145094663878,0.001591484676453092,0.010444301280131185,4,7.630767856742295,5.660848936315984,37556.23910716061,24879.14273107095,4
1.2,0.1,0.115556,0.0161366024293784,0.009596840220155367,0.004635639090338373,0.028982612637264538,5,23.236707498304895,13.81944991702373,17610.852738120924,15822.966328485809,5
1.2,0.1,0.136667,0.005941194482909395,0.004155036157719579,0.0007957001550948917,0.011338596198640971,5,8.55532005538953,5.983252067116193,66660.286878091,2.135160428925968,5
1.2,0.1,0.157778,0.012573810330536617,0.017353941868921537,0.0004454128775250865,0.04283979483568601,5,18.106286875972728,24.989676291247015,80003.62461879705,44687.959215057504,5
1.2,0.1,0.178889,0.005341458252485154,0.004978413719791493,0.00038221778783054106,0.013107791575407646,5,7.691699883578622,7.16891575649975,73342.40977425492,43421.15935599734,5
1.2,0.1,0.2,0.003888127145182807,0.0028901316359973427,0.00047750688827363774,0.007805742701748386,5,5.598903089063242,4.161789555836173,73347.87224395522,43403.58032494659,5
1.2,0.13895,0.01,0.005350458455723128,0.00259351536645525,0.002784826618153602,0.007970985820065835,3,7.704660176241305,3.7346621276955605,11159.718767935667,9528.576673878975,3
1.2,0.13895,0.031111,0.006710536854684553,0.0034846102281877907,0.004643428270355798,0.010733707345934818,3,9.663173070745756,5.017838728590419,4378.064848436753,7031.5372657198495,3
1.2,0.13895,0.052222,0.0058014915758235475,0.003465245635448169,0.0025503032475171494,0.009447050629376008,3,8.354147869185908,4.989953715045363,28566.11171062506,1.4083073121281795,3
1.2,0.13895,0.073333,0.005935368841619493,0.0029614305052768344,0.0036365419364301488,0.009874796764052007,4,8.54693113193207,4.264459927598642,58325.46717722436,9622.90348880697,4
1.2,0.13895,0.094444,0.007350497166541459,0.0054677040969756795,0.0022415295119913026,0.014483393184036686,4,10.5847159198197,7.873493899644979,30056.619515903498,19878.83754750268,4
1.2,0.13895,0.115556,0.0177534114068294,0.010015752196577778,0.006470680318670929,0.02966267024021363,4,25.564912425834336,14.422683163072,13678.187228369607,15198.27439625334,4
1.2,0.13895,0.136667,0.006019265989024802,0.004325385693457029,0.001081936646869508,0.011147435364250668,4,8.667743024195715,6.228555398578122,66659.41899545981,1.5716860035611357,4
1.2,0.13895,0.157778,0.010021103036797286,0.009521713210921729,0.0006134477653176873,0.024593746617028955,5,14.43038837298809,13.711267023727292,80002.03058756627,44687.05796539113,5
1.2,0.13895,0.178889,0.007211148147124646,0.006082095020267444,0.0005456699349224436,0.015186650573923544,5,10.38405333185949,8.75821682918512,73341.305647589,43420.84757453064,5
1.2,0.13895,0.2,0.004154931284574559,0.0031314429200418868,0.0006811232633481268,0.007929835090180859,4,5.983101049787365,4.509277804860317,75022.21966097076,49933.70842877004,4
1.2,0.19307,0.01,0.005517318091733614,0.0020761059308517476,0.004049289509566734,0.006985346673900494,2,7.944938052096404,2.989592540426517,7766.433353607228,10763.889039069942,2
1.2,0.19307,0.031111,0.009307427168878965,0.004599200880500668,0.006492760015948562,0.014614874250469256,3,13.402695123185708,6.622849267920963,4136.329947085506,6603.076799817967,3
1.2,0.19307,0.052222,0.08398176493842986,0.13311579584298597,0.0035685750690390705,0.2376348418555274,3,120.93374151133901,191.68674601389978,63879.10320369845,37573.86773570846,3
1.2,0.19307,0.073333,0.005091451844540036,0.003637724425557924,0.0016487421344208997,0.0088969975222426,3,7.331690656137653,5.238323172803411,33360.30795859753,28805.05868411114,3
1.2,0.19307,0.094444,0.006510904242986726,0.004222686112755767,0.0031082652246823272,0.011236725990556806,3,9.375702109900885,6.080668002368305,26742.56944541405,22952.340474372788,3
1.2,0.19307,0.115556,0.024724055519641297,0.01408084599068541,0.008840520559260767,0.041166020586388186,4,35.60263994828347,20.27641822658699,13672.164315829908,15201.634772916253,4
1.2,0.19307,0.136667,0.010928544067147073,0.008896372242006905,0.0015362131453002803,0.024635027282783994,5,15.737103456691784,12.810776028489943,66656.86716238604,1.5313923522196018,5
1.2,0.19307,0.157778,0.008121453915578059,0.007172244933600912,0.0008287750415547634,0.017524784332636045,4,11.694893638432404,10.328032704385313,75005.61647062833,49961.458419744646,4
1.2,0.19307,0.178889,0.010945207698329629,0.013808126368590336,0.0007835720098228194,0.031200684478742247,4,15.761099085594665,19.883701970770083,66679.82369362851,47095.37541172106,4
1.2,0.19307,0.2,0.005855054695530271,0.004432677801156941,0.0009997411725635175,0.011243791144806892,4,8.43127876156359,6.383056033665995,75019.0509134683,49931.54908411222,4
1.2,0.26827,0.01,4.993511581058556,0.0027825544370796533,4.9909571470852825,4.996476624903153,3,7190.65667672432,4.006878389394701,99984.43703274448,3.790778098804304,3
1.2,0.26827,0.031111,4.995987342808803,0.002282577702919268,4.994373316636484,4.9976013689811225,2,7194.221773644676,3.286911892203746,99992.0332705148,0.6822039317352645,2
1.2,0.26827,0.052222,0.02626449196638229,0.03271508881329417,0.004930456358124502,0.06393005101926974,3,37.8208684315905,47.109727891143606,26178.15912178854,2055.91285454765,3
1.2,0.26827,0.073333,0.004121955917071318,0.0024007070463299223,0.002424399684969103,0.0058195121491735335,2,5.935616520582698,3.4570181467150882,25043.553163463257,35276.32339087718,2
1.2,0.26827,0.094444,0.008744789242551102,0.005628989448662322,0.004363759278845691,0.01509348346007755,3,12.592496509273587,8.105744806073742,26741.643895100937,22950.056697801243,3
1.2,0.26827,0.115556,0.025898398572887043,0.014121923853643704,0.012262869363439677,0.04046103184737149,3,37.29369394495734,20.335570349246936,7775.398325622197,12503.04402541182,3
1.2,0.26827,0.136667,0.0067063628157484345,0.004411758093313201,0.0023664960826863535,0.01118665914691519,3,9.657162454677746,6.352931654371011,66656.33680925758,2.842618765744886,3
1.2,0.26827,0.157778,0.006446460479840728,0.0054249399929600615,0.0012398645048961043,0.012066129248978541,3,9.282903090970649,7.811913589862489,66680.43335374117,57691.986378880545,3
1.2,0.26827,0.178889,0.005411223099751321,0.004447369922792132,0.0011704681382980198,0.010039806562417652,3,7.792161263641901,6.40421268882067,66685.78018092875,57678.90141477893,3
1.2,0.26827,0.2,0.008030418380258197,0.006125305385505408,0.0014884639349475037,0.015595348806527909,4,11.563802467571804,8.820439755127786,75019.6600071702,49931.85974388933,4
1.2,0.372759,0.031111,4.992712469047547,,4.992712469047547,4.992712469047547,1,7189.505955428467,,66638.08734426381,,1
1.2,0.372759,0.052222,4.9943388296051126,0.0008675098331053212,4.993725407519378,4.994952251690847,2,7191.847914631362,1.2492141596716626,99988.60523946435,2.303336853354211,2
1.2,0.372759,0.073333,4.998756336881343,0.0006085756375870125,4.99832600892114,4.999186664841545,2,7198.209125109133,0.8763489181252979,99996.72141891178,0.7766486379673303,2
1.2,0.372759,0.094444,0.007683239019030452,0.0014937886488490414,0.006626970935769805,0.0087395071022911,2,11.063864187403851,2.151055654342619,16783.480653809424,23391.035784113385,2
1.2,0.372759,0.115556,0.046915741483644524,0.028399972209982183,0.01675792807509424,0.08259889394321362,4,67.55866773644811,40.89595998237434,12068.169696647363,13357.631217439952,4
